time,10u,ssrd,10v,tcc,2t
2024-10-01 00:00:00,-0.09,0.00,0.02,0.01,288.25
2024-10-01 01:00:00,-0.31,0.00,0.06,0.02,287.49
2024-10-01 02:00:00,-0.43,0.00,0.08,0.10,286.63
2024-10-01 03:00:00,-0.33,0.00,-0.02,0.35,285.94
2024-10-01 04:00:00,-0.25,0.00,-0.15,0.61,285.37
2024-10-01 05:00:00,-0.25,0.00,-0.11,0.77,284.87
2024-10-01 06:00:00,-0.28,0.00,-0.01,0.89,284.62
2024-10-01 07:00:00,-0.25,90249.40,0.08,0.96,285.45
2024-10-01 08:00:00,-0.06,472267.43,0.10,0.97,287.72
2024-10-01 09:00:00,0.31,906587.09,0.32,0.98,290.08
2024-10-01 10:00:00,0.82,1209764.66,0.54,0.88,292.93
2024-10-01 11:00:00,1.90,1789644.68,0.28,0.65,295.26
2024-10-01 12:00:00,2.51,2326199.96,0.15,0.43,297.29
2024-10-01 13:00:00,2.83,2413247.60,0.14,0.27,298.83
2024-10-01 14:00:00,3.06,2227470.04,0.07,0.14,299.90
2024-10-01 15:00:00,3.24,1886171.64,0.01,0.13,300.11
2024-10-01 16:00:00,3.31,1370652.12,-0.06,0.19,299.97
2024-10-01 17:00:00,2.72,661118.36,-0.04,0.11,298.95
2024-10-01 18:00:00,1.95,133557.04,0.24,0.09,296.52
2024-10-01 19:00:00,2.07,0.00,0.25,0.13,294.91
2024-10-01 20:00:00,2.22,0.00,0.17,0.43,293.82
2024-10-01 21:00:00,2.27,0.00,-0.10,0.33,292.32
2024-10-01 22:00:00,2.66,0.00,-0.16,0.37,291.71
2024-10-01 23:00:00,2.27,0.00,-0.38,0.49,291.15
2024-10-02 00:00:00,2.05,0.00,-0.50,0.74,290.68
2024-10-02 01:00:00,1.80,0.00,-0.24,0.82,290.10
2024-10-02 02:00:00,1.62,0.00,-0.15,0.94,289.86
2024-10-02 03:00:00,1.60,0.00,0.02,0.99,289.64
2024-10-02 04:00:00,1.60,0.00,0.20,0.98,289.27
2024-10-02 05:00:00,1.60,0.00,0.35,0.99,289.21
2024-10-02 06:00:00,1.53,0.00,0.43,0.91,289.08
2024-10-02 07:00:00,1.56,82585.85,0.56,0.78,289.43
2024-10-02 08:00:00,1.92,478232.49,0.66,0.96,291.29
2024-10-02 09:00:00,2.76,1016684.21,0.44,0.99,293.02
2024-10-02 10:00:00,2.27,1407105.62,0.19,0.92,294.81
2024-10-02 11:00:00,3.16,1379918.38,0.77,0.98,295.50
2024-10-02 12:00:00,3.88,1534542.20,1.22,0.98,296.04
2024-10-02 13:00:00,4.92,1293404.52,1.60,1.00,296.35
2024-10-02 14:00:00,5.22,661371.86,1.72,1.00,296.02
2024-10-02 15:00:00,5.75,517809.73,1.75,1.00,295.18
2024-10-02 16:00:00,5.77,326351.58,1.75,1.00,294.48
2024-10-02 17:00:00,5.35,133354.29,1.93,1.00,293.55
2024-10-02 18:00:00,5.11,31642.60,1.70,1.00,292.92
2024-10-02 19:00:00,5.12,0.00,1.17,1.00,292.45
2024-10-02 20:00:00,4.93,0.00,0.75,0.98,292.39
2024-10-02 21:00:00,4.50,0.00,0.41,0.88,292.18
2024-10-02 22:00:00,2.99,0.00,0.10,0.72,291.71
2024-10-02 23:00:00,2.94,0.00,-0.44,0.73,291.06
2024-10-03 00:00:00,2.56,0.00,-1.05,0.74,290.77
2024-10-03 01:00:00,2.09,0.00,-1.42,0.78,290.09
2024-10-03 02:00:00,1.57,0.00,-1.64,0.66,289.46
2024-10-03 03:00:00,1.37,0.00,-1.61,0.55,288.40
2024-10-03 04:00:00,1.08,0.00,-1.61,0.33,287.81
2024-10-03 05:00:00,0.98,0.00,-1.49,0.27,287.19
2024-10-03 06:00:00,1.03,0.00,-1.50,0.32,286.67
2024-10-03 07:00:00,0.75,89148.17,-1.54,0.27,286.80
2024-10-03 08:00:00,0.57,576003.09,-1.91,0.26,288.86
2024-10-03 09:00:00,0.41,1208880.55,-2.27,0.25,290.45
2024-10-03 10:00:00,0.47,1732134.60,-1.04,0.15,292.24
2024-10-03 11:00:00,1.38,2213778.28,-1.63,0.24,293.51
2024-10-03 12:00:00,2.12,2280408.48,-1.91,0.36,294.40
2024-10-03 13:00:00,2.37,2206849.92,-2.18,0.37,295.25
2024-10-03 14:00:00,2.17,2085926.56,-2.49,0.22,295.93
2024-10-03 15:00:00,2.45,1747742.80,-2.66,0.29,295.99
2024-10-03 16:00:00,2.41,1299354.12,-2.79,0.33,295.75
2024-10-03 17:00:00,1.76,701810.98,-2.67,0.27,294.51
2024-10-03 18:00:00,0.88,138261.90,-2.05,0.11,292.49
2024-10-03 19:00:00,0.46,0.00,-2.00,0.11,291.20
2024-10-03 20:00:00,-0.02,0.00,-1.99,0.08,290.22
2024-10-03 21:00:00,-0.45,0.00,-1.74,0.10,289.10
2024-10-03 22:00:00,-0.32,0.00,-1.12,0.50,287.56
2024-10-03 23:00:00,-0.45,0.00,-1.07,0.56,286.83
2024-10-04 00:00:00,-0.55,0.00,-0.94,0.58,286.14
2024-10-04 01:00:00,-0.55,0.00,-0.84,0.56,285.66
2024-10-04 02:00:00,-0.73,0.00,-0.81,0.45,284.89
2024-10-04 03:00:00,-0.72,0.00,-0.81,0.42,284.42
2024-10-04 04:00:00,-0.70,0.00,-0.81,0.31,284.05
2024-10-04 05:00:00,-0.65,0.00,-0.85,0.32,283.80
2024-10-04 06:00:00,-0.58,0.00,-0.81,0.31,283.39
2024-10-04 07:00:00,-0.64,85184.02,-0.89,0.41,284.18
2024-10-04 08:00:00,-0.51,571142.72,-0.55,0.63,286.94
2024-10-04 09:00:00,-0.32,1192134.38,-0.39,0.64,289.33
2024-10-04 10:00:00,0.86,1644158.08,-0.03,0.92,291.98
2024-10-04 11:00:00,1.10,1941593.12,-0.06,0.99,293.41
2024-10-04 12:00:00,1.43,2178688.88,0.08,0.99,294.67
2024-10-04 13:00:00,1.88,2093457.40,0.00,0.98,295.52
2024-10-04 14:00:00,2.02,1675952.16,-0.11,0.92,295.86
2024-10-04 15:00:00,2.08,1319089.96,-0.07,0.79,296.20
2024-10-04 16:00:00,2.16,848430.03,-0.20,0.64,296.11
2024-10-04 17:00:00,1.82,324768.18,-0.18,0.49,295.38
2024-10-04 18:00:00,1.20,91482.42,-0.14,0.42,293.64
2024-10-04 19:00:00,0.93,0.00,-0.15,0.50,291.80
2024-10-04 20:00:00,0.86,0.00,-0.12,0.38,290.25
2024-10-04 21:00:00,0.82,0.00,-0.13,0.29,288.44
2024-10-04 22:00:00,1.01,0.00,-0.55,0.27,288.15
2024-10-04 23:00:00,0.62,0.00,-0.51,0.15,287.33
2024-10-05 00:00:00,0.41,0.00,-0.30,0.19,286.72
2024-10-05 01:00:00,0.22,0.00,-0.23,0.14,286.27
2024-10-05 02:00:00,0.10,0.00,-0.32,0.11,285.41
2024-10-05 03:00:00,-0.15,0.00,-0.23,0.25,284.78
2024-10-05 04:00:00,-0.16,0.00,-0.00,0.23,284.40
2024-10-05 05:00:00,0.17,0.00,-0.34,0.09,283.98
2024-10-05 06:00:00,0.15,0.00,-0.34,0.17,283.74
2024-10-05 07:00:00,-0.09,88765.95,0.00,0.31,284.40
