time,2t,tcc,10v,10u,ssrd
2024-01-01 06:00:00,276.33,0.76,-0.36,0.45,0.00
2024-01-01 08:00:00,275.75,0.62,-0.21,0.25,8613.44
2024-01-01 10:00:00,278.19,0.50,0.23,0.27,638557.45
2024-01-01 12:00:00,280.61,0.45,0.82,1.09,1273696.70
2024-01-01 14:00:00,282.69,0.31,1.45,1.40,1368497.44
2024-01-01 16:00:00,282.46,0.52,1.12,1.59,633469.72
2024-01-01 18:00:00,278.81,0.98,1.50,0.84,0.00
2024-01-01 20:00:00,277.09,0.95,1.41,0.66,0.00
2024-01-01 22:00:00,276.11,1.00,1.55,0.82,0.00
2024-01-02 06:00:00,275.01,0.74,1.37,0.61,0.00
2024-01-02 08:00:00,275.59,1.00,1.60,0.21,9474.12
2024-01-02 10:00:00,278.35,1.00,1.93,0.52,552680.02
2024-01-02 12:00:00,280.57,1.00,2.34,1.99,659268.67
2024-01-02 14:00:00,281.93,1.00,2.97,1.60,702658.41
2024-01-02 16:00:00,281.75,0.99,2.82,2.18,267992.11
2024-01-02 18:00:00,281.42,1.00,2.69,2.46,0.00
2024-01-02 20:00:00,281.52,1.00,3.01,1.81,0.00
2024-01-02 22:00:00,282.07,1.00,2.88,2.78,0.00
2024-01-03 06:00:00,282.99,0.99,2.59,2.00,0.00
2024-01-03 08:00:00,283.07,1.00,1.96,2.06,1799.73
2024-01-03 10:00:00,283.68,1.00,0.87,1.61,102043.81
2024-01-03 12:00:00,284.76,1.00,2.21,2.76,254234.09
2024-01-03 14:00:00,285.03,1.00,1.63,3.07,403235.90
2024-01-03 16:00:00,284.83,1.00,1.76,2.00,199692.14
2024-01-03 18:00:00,284.02,1.00,1.32,2.10,0.00
2024-01-03 20:00:00,283.36,1.00,0.40,1.78,0.00
2024-01-03 22:00:00,282.04,1.00,0.31,1.15,0.00
2024-01-04 06:00:00,280.65,0.96,0.56,0.67,0.00
2024-01-04 08:00:00,280.46,0.98,0.76,0.25,5658.56
2024-01-04 10:00:00,282.04,1.00,1.83,0.69,392372.68
2024-01-04 12:00:00,283.11,1.00,2.28,0.93,412999.69
2024-01-04 14:00:00,283.38,1.00,2.12,0.30,496110.97
2024-01-04 16:00:00,283.20,1.00,2.25,0.65,126272.15
2024-01-04 18:00:00,282.48,1.00,1.86,1.43,0.00
2024-01-04 20:00:00,282.11,1.00,1.35,2.27,0.00
2024-01-04 22:00:00,281.18,0.93,1.34,1.96,0.00
2024-01-05 06:00:00,277.81,0.64,-0.21,2.72,0.00
2024-01-05 08:00:00,277.20,0.75,-1.01,2.98,10075.15
2024-01-05 10:00:00,278.66,0.53,-1.69,2.95,698093.18
2024-01-05 12:00:00,279.99,0.38,-2.43,3.55,1411336.96
2024-01-05 14:00:00,280.85,0.43,-3.41,4.14,1407574.12
2024-01-05 16:00:00,280.24,0.32,-2.67,3.87,612494.49
2024-01-05 18:00:00,278.14,0.28,-1.66,3.40,0.00
2024-01-05 20:00:00,277.60,0.31,-1.05,3.37,0.00
2024-01-05 22:00:00,277.27,0.29,-0.21,2.47,0.00
2024-01-06 06:00:00,275.13,0.30,-1.11,2.48,0.00
2024-01-06 08:00:00,274.86,0.32,-0.75,2.35,12087.99
2024-01-06 10:00:00,277.74,0.24,-1.16,2.69,770244.23
2024-01-06 12:00:00,279.61,0.39,-2.93,3.28,1323308.16
2024-01-06 14:00:00,280.77,0.66,-3.96,2.86,1266948.95
2024-01-06 16:00:00,280.21,0.48,-2.57,2.18,552775.83
2024-01-06 18:00:00,277.34,0.26,-1.31,1.89,6.15
2024-01-06 20:00:00,276.29,0.19,-0.94,1.96,0.00
2024-01-06 22:00:00,275.11,0.34,-0.77,1.89,0.00
2024-01-07 06:00:00,272.86,0.40,-1.37,1.09,0.00
2024-01-07 08:00:00,272.56,0.24,-1.53,0.77,11787.42
2024-01-07 10:00:00,276.93,0.15,-1.40,0.97,816860.83
2024-01-07 12:00:00,279.46,0.35,-2.49,1.34,1432156.38
2024-01-07 14:00:00,280.93,0.22,-2.50,1.88,1359487.08
2024-01-07 16:00:00,280.51,0.31,-1.89,1.40,661265.94
2024-01-07 18:00:00,276.60,0.19,-1.23,1.69,19.46
2024-01-07 20:00:00,275.03,0.27,-1.48,1.48,0.00
2024-01-07 22:00:00,274.37,0.27,-1.49,1.29,0.00
2024-01-08 06:00:00,270.84,0.08,-1.09,0.24,0.00
2024-01-08 08:00:00,270.77,0.05,-0.99,-0.04,13674.07
2024-01-08 10:00:00,275.90,0.04,-0.52,0.25,907456.84
2024-01-08 12:00:00,278.91,0.09,-0.06,0.48,1596961.08
2024-01-08 14:00:00,280.04,0.64,0.07,0.53,1546513.44
2024-01-08 16:00:00,279.49,0.99,0.58,0.19,646581.03
2024-01-08 18:00:00,277.72,0.99,0.66,-0.21,37.90
2024-01-08 20:00:00,276.66,1.00,1.11,0.09,0.00
2024-01-08 22:00:00,276.13,1.00,1.29,0.10,0.00
2024-01-09 06:00:00,275.78,0.92,0.18,-0.66,0.00
2024-01-09 08:00:00,275.52,0.99,-0.07,-0.58,6257.15
2024-01-09 10:00:00,277.28,1.00,0.32,-0.79,432032.59
2024-01-09 12:00:00,279.14,1.00,1.10,-0.34,1097642.46
2024-01-09 14:00:00,279.77,0.99,1.19,0.18,1130116.47
2024-01-09 16:00:00,279.50,0.98,0.07,-0.25,395791.73
2024-01-09 18:00:00,278.48,0.94,-0.43,-0.71,73.74
2024-01-09 20:00:00,278.00,0.96,-0.49,-1.05,0.00
2024-01-09 22:00:00,277.27,0.96,-0.47,0.01,0.00
2024-02-01 06:00:00,275.59,0.23,-1.46,-0.73,0.00
2024-02-01 08:00:00,275.48,0.38,-1.20,-0.67,50302.52
2024-02-01 10:00:00,280.90,0.07,-1.60,-0.64,1094461.58
2024-02-01 12:00:00,285.89,0.32,-1.76,-1.00,1911320.68
2024-02-01 14:00:00,289.10,0.20,-1.64,-0.98,1894877.64
2024-02-01 16:00:00,289.55,0.24,-1.23,-0.36,1043986.54
2024-02-01 18:00:00,285.58,0.15,-1.70,0.32,39332.54
2024-02-01 20:00:00,282.62,0.28,-1.33,0.37,0.00
2024-02-01 22:00:00,280.08,0.38,-1.83,0.08,0.00
2024-02-02 06:00:00,276.85,0.10,-1.57,-0.62,0.00
2024-02-02 08:00:00,276.84,0.14,-1.77,-0.75,51446.89
2024-02-02 10:00:00,282.81,0.13,-1.75,-1.34,1067291.52
2024-02-02 12:00:00,286.33,0.06,-1.52,-2.25,1847872.96
2024-02-02 14:00:00,288.15,0.22,-0.87,-2.23,1864569.60
2024-02-02 16:00:00,288.39,0.13,-0.51,-2.05,1065919.73
2024-02-02 18:00:00,284.20,0.01,-0.69,-1.88,42077.80
2024-02-02 20:00:00,281.82,0.00,-0.74,-1.63,0.00
